LabNo,Sample,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,Random10FOV,Conc_per1g,MillionsPer1g,RelativePer1g
QR24_134-CB1-8,QR24_134,1,16 CB,Canti,CB,46042,Analyst 2,0.00182,100,16,125,,10407007.45,10.40700745,68681.31868
QR24_134-CB1-9,QR24_134,1,16 CB,Canti,CB,46042,Analyst 2,0.00182,100,16,115,,9574446.854,9.574446854,63186.81319
QR24_134-CB2,QR24_134,2,16 CB,Canti,CB,46038,Analyst 2,0.00254,100,16,121,,7218365.923,7.218365923,47637.79528
QR24_134-CB2,QR24_134,2,16 CB,Canti,CB,46036,Analyst 1,0.00254,100,16,153,,9127355.258,9.127355258,60236.22047
QR24_134-CB3,QR24_134,3,16 CB,Canti,CB,46038,Analyst 2,0.00237,100,16,119,,7608268.94,7.60826894,50210.97046
QR24_134-CB3,QR24_134,3,16 CB,Canti,CB,46036,Analyst 1,0.00237,100,16,166,,10613215.5,10.6132155,70042.19409
QR24_134-CB4,QR24_134,4,16 CB,Canti,CB,46038,Analyst 2,0.00221,100,16,138,,9461806.302,9.461806302,62443.43891
QR24_134-CB4,QR24_134,4,16 CB,Canti,CB,46036,Analyst 1,0.00221,100,16,169,,11587284.53,11.58728453,76470.58824
QR24_134-CB5,QR24_134,5,16 CB,Canti,CB,46038,Analyst 2,0.00242,100,16,86,,5384809.276,5.384809276,35537.19008
QR24_134-CB5,QR24_134,5,16 CB,Canti,CB,46036,Analyst 1,0.00242,100,16,116,,7263231.116,7.263231116,47933.8843
QR24_134-CB5,QR24_134,5,16 CB,Canti,CB,46036,Analyst 1,0.00242,100,16,148,,9266881.08,9.26688108,61157.02479
QR24_134,QR24_134,1,10 SPT,Gur-Arieh,SPT,45978,Analyst 2,0.01984,10,10,Random10FOV,91,11120055.31,11.12005531,45866.93548
QR24_134-1,QR24_134,2,10 SPT,Gur-Arieh,SPT,46036,Analyst 1,0.01849,10,10,Random10FOV,86,11276355.61,11.27635561,46511.62791
QR24_134-10,QR24_134,11,10 SPT,Gur-Arieh,SPT,46044,Analyst 2,0.01929,10,10,Random10FOV,84,10557334.49,10.55733449,43545.87869
QR24_134-2,QR24_134,3,10 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01899,10,10,Random10FOV,81,10341112.84,10.34111284,42654.02844
QR24_134-3,QR24_134,4,10 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01838,10,10,Random10FOV,62,8178118.62,8.17811862,33732.31774
QR24_134-4,QR24_134,5,10 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01942,10,10,Random10FOV,118,14731263.74,14.73126374,60762.10093
QR24_134-5,QR24_134,6,10 SPT,Gur-Arieh,SPT,46039,Analyst 2,0.01968,10,10,Random10FOV,120,14783027.17,14.78302717,60975.60976
QR24_134-6,QR24_134,7,10 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01969,10,10,Random10FOV,127,15637424.57,15.63742457,64499.74606
QR24_134-7,QR24_134,8,10 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01977,10,10,Random10FOV,95,11649952.62,11.64995262,48052.60496
QR24_134-8,QR24_134,9,10 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01825,10,10,Random10FOV,86,11424647.41,11.42464741,47123.28767
QR24_134-9,QR24_134,10,10 SPT,Gur-Arieh,SPT,46044,Analyst 2,0.01893,10,10,Random10FOV,91,11654616.88,11.65461688,48071.84363
QR24_134-CB1-1,QR24_134,1,10 CB,Canti,CB,46036,Analyst 1,0.00182,100,10,Random10FOV,75,9990727.151,9.990727151,41208.79121
QR24_134-CB1-10,QR24_134,1,10 CB,Canti,CB,46042,Analyst 2,0.00182,100,10,Random10FOV,74,9857517.456,9.857517456,40659.34066
QR24_134-CB1-2,QR24_134,1,10 CB,Canti,CB,46036,Analyst 1,0.00182,100,10,Random10FOV,70,9324678.675,9.324678675,38461.53846
QR24_134-CB1-3,QR24_134,1,10 CB,Canti,CB,46036,Analyst 1,0.00182,100,10,Random10FOV,77,10257146.54,10.25714654,42307.69231
QR24_134-CB1-7,QR24_134,1,10 CB,Canti,CB,46042,Analyst 2,0.00182,100,10,Random10FOV,111,14786276.18,14.78627618,60989.01099
QR24_134-CB1-8,QR24_134,1,10 CB,Canti,CB,46042,Analyst 2,0.00182,100,10,Random10FOV,87,11589243.5,11.5892435,47802.1978
QR24_134-CB1-9,QR24_134,1,10 CB,Canti,CB,46042,Analyst 2,0.00182,100,10,Random10FOV,78,10390356.24,10.39035624,42857.14286
QR24_134-CB2,QR24_134,2,10 CB,Canti,CB,46036,Analyst 1,0.00254,100,10,Random10FOV,99,9449497.208,9.449497208,38976.37795
QR24_134-CB2,QR24_134,2,10 CB,Canti,CB,46038,Analyst 2,0.00254,100,10,Random10FOV,81,7731406.807,7.731406807,31889.76378
QR24_134-CB3,QR24_134,3,10 CB,Canti,CB,46036,Analyst 1,0.00237,100,10,Random10FOV,107,10945677.67,10.94567767,45147.67932
QR24_134-CB3,QR24_134,3,10 CB,Canti,CB,46038,Analyst 2,0.00237,100,10,Random10FOV,71,7263019.761,7.263019761,29957.80591
QR24_134-CB4,QR24_134,4,10 CB,Canti,CB,46036,Analyst 1,0.00221,100,10,Random10FOV,112,12286635.43,12.28663543,50678.73303
QR24_134-CB4,QR24_134,4,10 CB,Canti,CB,46038,Analyst 2,0.00221,100,10,Random10FOV,85,9324678.675,9.324678675,38461.53846
QR24_134-CB5,QR24_134,5,10 CB,Canti,CB,46036,Analyst 1,0.00242,100,10,Random10FOV,76,7613869.86,7.61386986,31404.95868
QR24_134-CB5,QR24_134,5,10 CB,Canti,CB,46036,Analyst 1,0.00242,100,10,Random10FOV,92,9216789.831,9.216789831,38016.52893
QR24_134-CB5,QR24_134,5,10 CB,Canti,CB,46038,Analyst 2,0.00242,100,10,Random10FOV,59,5910767.391,5.910767391,24380.16529
QR24_145,QR24_145,1,16 SPT,Gur-Arieh,SPT,45993,Analyst 2,0.02062,10,16,273,,20061399.5,20.0613995,132395.7323
QR24_145_12,QR24_145,12,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.013,10,16,267,,31121115.08,31.12111508,205384.6154
QR24_145_13,QR24_145,13,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.01378,10,16,226,,24851148.35,24.85114835,164005.8055
